variant,samples,median_ms,p90_ms,p95_ms,p99_ms,max_ms
PTAR_NG_MOE_V01_SF5,512,0.655488000,0.657632000,0.658268800,0.659072000,0.660224000
EDGE_NG_V03_K185_CONTROL,512,0.498240000,0.500028800,0.500590400,0.502638720,0.503200000
