case_id,max_abs_lsb,mismatched_pixels,pixels,mismatch_fraction,gpu_png_bytes,status
PTAR-GEN-CHECKER-A,1,324,82944,0.003906250000,16195,PASS
PTAR-GEN-CHECKER-B,1,309,82944,0.003725405093,15684,PASS
PTAR-GEN-CHECKER-C,1,348,82944,0.004195601852,16766,PASS
PTAR-GEN-DIAGONAL_LINES-A,1,9294,82944,0.112051504630,3784,PASS
PTAR-GEN-DIAGONAL_LINES-B,1,9294,82944,0.112051504630,3784,PASS
PTAR-GEN-DIAGONAL_LINES-C,1,9294,82944,0.112051504630,3784,PASS
PTAR-GEN-FREQUENCY_MIX-A,1,5710,82944,0.068841628086,116907,PASS
PTAR-GEN-FREQUENCY_MIX-B,1,5690,82944,0.068600501543,116805,PASS
PTAR-GEN-FREQUENCY_MIX-C,1,5608,82944,0.067611882716,117322,PASS
PTAR-GEN-PIXELART-A,1,1139,82944,0.013732156636,20846,PASS
PTAR-GEN-PIXELART-B,1,884,82944,0.010657793210,17299,PASS
PTAR-GEN-PIXELART-C,1,2697,82944,0.032515914352,18550,PASS
PTAR-GEN-RINGS-A,1,5409,82944,0.065212673611,120150,PASS
PTAR-GEN-RINGS-B,1,6000,82944,0.072337962963,141787,PASS
PTAR-GEN-RINGS-C,1,5456,82944,0.065779320988,120740,PASS
PTAR-GEN-UI_TEXT-A,1,381,82944,0.004593460648,12887,PASS
PTAR-GEN-UI_TEXT-B,1,52,82944,0.000626929012,4971,PASS
PTAR-GEN-UI_TEXT-C,1,185,82944,0.002230420525,6555,PASS
SKI-BRICK-A,1,1816,82944,0.021894290123,53754,PASS
SKI-BRICK-B,1,1738,82944,0.020953896605,52512,PASS
SKI-BRICK-C,1,1869,82944,0.022533275463,52300,PASS
SKI-CAMERA-A,1,1565,82944,0.018868152006,59484,PASS
SKI-CAMERA-B,1,1780,82944,0.021460262346,73839,PASS
SKI-CAMERA-C,1,1853,82944,0.022340374228,83068,PASS
SKI-GRASS-A,1,1866,82944,0.022497106481,102912,PASS
SKI-GRASS-B,1,1845,82944,0.022243923611,103454,PASS
SKI-GRASS-C,1,1965,82944,0.023690682870,105908,PASS
SKI-GRAVEL-A,1,1940,82944,0.023389274691,97572,PASS
SKI-GRAVEL-B,1,1880,82944,0.022665895062,97462,PASS
SKI-GRAVEL-C,1,1898,82944,0.022882908951,97978,PASS
SKI-HORSE-A,1,250,82944,0.003014081790,15176,PASS
SKI-HORSE-B,1,277,82944,0.003339602623,15552,PASS
SKI-HORSE-C,1,227,82944,0.002736786265,13655,PASS
SKI-HUBBLE_DEEP_FIELD-A,1,3971,82944,0.047875675154,165950,PASS
SKI-HUBBLE_DEEP_FIELD-B,1,3852,82944,0.046440972222,160162,PASS
SKI-HUBBLE_DEEP_FIELD-C,1,3998,82944,0.048201195988,163315,PASS
SKI-RETINA-A,1,3923,82944,0.047296971451,98373,PASS
SKI-RETINA-B,1,3846,82944,0.046368634259,82151,PASS
SKI-RETINA-C,1,3568,82944,0.043016975309,84623,PASS
SKI-ROCKET-A,1,3375,82944,0.040690104167,101621,PASS
SKI-ROCKET-B,1,3395,82944,0.040931230710,95917,PASS
SKI-ROCKET-C,1,3789,82944,0.045681423611,114489,PASS
