variant,samples,median_ms,p90_ms,p95_ms,p99_ms,max_ms
EDGE_NG_V03_K185,512,0.497728000,0.498336000,0.499758400,0.501614400,0.502144000
BILINEAR_CONTROL,512,0.502352000,0.507577600,0.509454400,0.511708480,0.513856000
