variant,samples,median_ms,p90_ms,p95_ms,p99_ms,max_ms
EDGE_NG_V03_K185,512,0.499232000,0.704371200,0.706112000,0.709077440,0.712000000
BILINEAR_CONTROL,512,0.192064000,0.506460800,0.509028800,0.511473920,0.558624000
