block,first_triad,last_triad,lab38a_median_ms,lab47a_median_ms,k185_median_ms,paired_lab38a_minus_lab47a_median_ms
0,0,59,0.473632000,0.459200000,0.494272000,0.014416000
1,60,119,0.473840000,0.458928000,0.494288000,0.014880000
2,120,179,0.474128000,0.459456000,0.494672000,0.015312000
3,180,239,0.701440000,0.681280000,0.697120000,0.020320000
4,240,299,0.703904000,0.681200000,0.698480000,0.022016000
5,300,359,0.702576000,0.682944000,0.698848000,0.019568000
6,360,419,0.706720000,0.687408000,0.701456000,0.025696000
7,420,479,1.452128000,1.404160000,1.441200000,0.047600000
8,480,539,1.451424000,1.406192000,1.438272000,0.047200000
9,540,599,2.163952000,2.119680000,2.328528000,0.044976000
