block,first_triad,last_triad,lab37b_median_ms,lab38a_median_ms,k185_median_ms,paired_lab37b_minus_lab38a_median_ms
0,0,59,0.479232000,0.474016000,0.494736000,0.005296000
1,60,119,0.478992000,0.473744000,0.494656000,0.005216000
2,120,179,0.480352000,0.476448000,0.494960000,0.005776000
3,180,239,0.720912000,0.702944000,0.698496000,0.018768000
4,240,299,0.720896000,0.702208000,0.697664000,0.018512000
5,300,359,0.720992000,0.702000000,0.698496000,0.019168000
6,360,419,0.723232000,0.706464000,0.699440000,0.021376000
7,420,479,1.484768000,1.455312000,1.441136000,0.031840000
8,480,539,1.486912000,1.454768000,1.440656000,0.033888000
9,540,599,2.185824000,2.162016000,2.328176000,0.023408000
